BLU,GRE,RED,REDEDGE,NearIR,NDVI,NDRE,SR,GLI,RGI,ExG,meanRGB,RBI,class
0.0116,0.0234,0.0139,0.06,0.1595,0.839677047,0.453302961,11.47482014,0.294605809,0.594017094,0.0213,0.0163,1.198275862,4
0.0114,0.0188,0.0149,0.044,0.1007,0.742214533,0.391845197,6.758389262,0.176838811,0.792553191,0.0113,0.015033333,1.307017544,4
0.0079,0.0158,0.016,0.0425,0.1011,0.726729291,0.408077994,6.31875,0.138738739,1.012658228,0.0077,0.013233333,2.025316456,4
0.0107,0.0158,0.0157,0.0466,0.1021,0.73344652,0.373234701,6.503184713,0.089655172,0.993670886,0.0052,0.014066667,1.46728972,4
0.0083,0.0153,0.007,0.0505,0.1293,0.8972854,0.438264739,18.47142857,0.333333333,0.45751634,0.0153,0.0102,0.843373494,4
0.0109,0.021,0.0135,0.0519,0.1362,0.819639279,0.448165869,10.08888889,0.265060241,0.642857143,0.0176,0.015133333,1.23853211,4
0.0133,0.0254,0.0184,0.0593,0.132,0.755319149,0.380031364,7.173913043,0.231515152,0.724409449,0.0191,0.019033333,1.383458647,4
0.0091,0.0161,0.0067,0.0531,0.1375,0.907073509,0.442812172,20.52238806,0.341666667,0.416149068,0.0164,0.010633333,0.736263736,4
0.0093,0.0146,0.0078,0.0381,0.1205,0.878409977,0.519546028,15.44871795,0.261339093,0.534246575,0.0121,0.010566667,0.838709677,4
0.009,0.0194,0.009,0.0483,0.1304,0.870875179,0.459429211,14.48888889,0.366197183,0.463917526,0.0208,0.012466667,1,4
0.0097,0.0171,0.01,0.043,0.1223,0.84882842,0.479733817,12.23,0.269016698,0.584795322,0.0145,0.012266667,1.030927835,4
0.0085,0.0148,0.0081,0.0421,0.1163,0.86977492,0.468434343,14.35802469,0.281385281,0.547297297,0.013,0.010466667,0.952941176,4
0.0094,0.0176,0.0104,0.05,0.1392,0.860962567,0.471458774,13.38461538,0.28,0.590909091,0.0154,0.012466667,1.106382979,4
0.0091,0.0131,0.0094,0.0403,0.1093,0.841617523,0.461229947,11.62765957,0.172259508,0.717557252,0.0077,0.010533333,1.032967033,4
0.0086,0.0127,0.0093,0.0384,0.1049,0.837127846,0.46406141,11.27956989,0.173210162,0.732283465,0.0075,0.0102,1.081395349,4
0.0094,0.0147,0.0078,0.0403,0.1085,0.865864144,0.458333333,13.91025641,0.261802575,0.530612245,0.0122,0.010633333,0.829787234,4
0.008,0.02,0.0082,0.057,0.1387,0.888359428,0.417475728,16.91463415,0.423487544,0.41,0.0238,0.012066667,1.025,4
0.0084,0.0208,0.0103,0.0573,0.1513,0.872524752,0.450623202,14.68932039,0.379767828,0.495192308,0.0229,0.013166667,1.226190476,4
0.0086,0.0168,0.0097,0.0457,0.1265,0.857562408,0.469221835,13.04123711,0.294797688,0.577380952,0.0153,0.0117,1.127906977,4
0.0075,0.0156,0.0087,0.0379,0.1088,0.851914894,0.48329925,12.50574713,0.316455696,0.557692308,0.015,0.0106,1.16,4
0.0082,0.017,0.0091,0.0421,0.1147,0.852988691,0.463010204,12.6043956,0.325536062,0.535294118,0.0167,0.011433333,1.109756098,4
0.0082,0.0186,0.009,0.0536,0.1408,0.879839786,0.448559671,15.64444444,0.367647059,0.483870968,0.02,0.011933333,1.097560976,4
0.0091,0.0226,0.0124,0.0542,0.1494,0.846724351,0.467583497,12.0483871,0.355322339,0.548672566,0.0237,0.0147,1.362637363,4
0.0109,0.0184,0.0114,0.0451,0.1208,0.827534039,0.456298975,10.59649123,0.24534687,0.619565217,0.0145,0.013566667,1.04587156,4
0.0104,0.0168,0.0113,0.0424,0.1171,0.823987539,0.468338558,10.36283186,0.215189873,0.672619048,0.0119,0.012833333,1.086538462,4
0.0075,0.0155,0.0084,0.0427,0.1233,0.872437358,0.485542169,14.67857143,0.32196162,0.541935484,0.0151,0.010466667,1.12,4
0.0108,0.0215,0.0133,0.064,0.1582,0.844897959,0.423942394,11.89473684,0.281669151,0.618604651,0.0189,0.0152,1.231481481,4
0.0108,0.0182,0.0085,0.0449,0.1225,0.870229008,0.463560335,14.41176471,0.307001795,0.467032967,0.0171,0.0125,0.787037037,4
0.0085,0.0171,0.0099,0.0471,0.1289,0.857348703,0.464772727,13.02020202,0.300380228,0.578947368,0.0158,0.011833333,1.164705882,4
0.0087,0.0191,0.0097,0.0523,0.1643,0.888505747,0.517082179,16.93814433,0.349823322,0.507853403,0.0198,0.0125,1.114942529,4
0.0091,0.018,0.0111,0.053,0.1348,0.847840987,0.435569755,12.14414414,0.28113879,0.616666667,0.0158,0.012733333,1.21978022,4
